Match_ID,Time,RHero1,RHero2,RHero3,RHero4,RHero5,DHero1,DHero2,DHero3,DHero4,DHero5,mmr,Rwin
5771053001, 2021-01-03 22:28:17, 40,12,47,5,7, 46,18,21,71,101, 4228, True
5771052809, 2021-01-03 22:28:22, 8,90,28,101,40, 74,128,69,18,64, 4329, True
5771052517, 2021-01-03 22:28:01, 107,33,77,70,114, 25,64,69,42,55, 4185, True
5771052513, 2021-01-03 22:27:56, 42,60,5,9,113, 126,18,86,35,82, 4007, True
5771052118, 2021-01-03 22:27:31, 38,8,86,52,75, 97,121,30,129,44, 4483, True
5771052109, 2021-01-03 22:27:20, 26,9,10,114,100, 90,28,93,106,88, 4828, False
5771052016, 2021-01-03 22:27:16, 19,75,106,91,38, 74,121,71,1,99, 4131, False
5771051713, 2021-01-03 22:27:01, 129,25,27,114,110, 104,31,86,42,8, 4936, True
5771051013, 2021-01-03 22:26:07, 128,70,39,107,110, 53,27,68,49,44, 4207, False
5771051007, 2021-01-03 22:26:01, 93,31,114,83,2, 99,6,86,20,74, 4213, True
5771050900, 2021-01-03 22:26:00, 65,10,88,8,84, 126,123,42,114,30, 4104, True
5771050509, 2021-01-03 22:25:31, 129,100,79,44,39, 84,95,31,112,126, 4125, False
5771050402, 2021-01-03 22:25:15, 108,68,63,17,30, 8,5,39,33,25, 5768, True
5771050314, 2021-01-03 22:25:15, 44,47,68,104,26, 22,27,108,114,101, 4098, True
5771050304, 2021-01-03 22:25:16, 105,9,44,28,47, 15,71,113,56,13, 4068, False
5771049912, 2021-01-03 22:24:45, 15,109,83,92,87, 28,88,74,110,32, 4318, True
5771049814, 2021-01-03 22:24:36, 108,42,110,26,13, 9,107,63,71,54, 4250, True
5771049709, 2021-01-03 22:24:30, 33,86,10,13,83, 112,25,114,65,8, 5634, True
5771049607, 2021-01-03 22:24:25, 34,93,25,91,103, 1,38,19,14,30, 4537, False
5771049105, 2021-01-03 22:23:51, 85,30,93,104,98, 40,63,49,8,28, 4655, False
5771049001, 2021-01-03 22:23:45, 126,12,23,86,22, 32,96,21,88,106, 5760, False
5771048910, 2021-01-03 22:23:35, 93,121,11,51,98, 60,26,25,8,27, 4106, False
5771048907, 2021-01-03 22:23:30, 19,119,63,77,62, 123,70,11,68,104, 5128, True
5771048506, 2021-01-03 22:23:05, 104,114,121,86,17, 80,8,30,128,34, 4291, False
5771048109, 2021-01-03 22:22:40, 22,8,84,88,49, 10,2,70,27,100, 4562, True
5771047811, 2021-01-03 22:22:06, 100,31,49,70,34, 82,99,13,10,113, 4171, False
5771047400, 2021-01-03 22:21:46, 111,30,34,109,63, 13,41,11,123,26, 4232, False
5771047302, 2021-01-03 22:21:35, 120,82,65,87,63, 109,61,81,3,123, 4119, True
5771047019, 2021-01-03 22:21:15, 86,47,10,93,112, 42,5,9,123,96, 4160, False
5771046400, 2021-01-03 22:20:25, 63,6,51,34,98, 129,119,62,121,70, 4429, False
5771046305, 2021-01-03 22:20:06, 5,112,88,114,45, 126,105,123,14,67, 4083, False
5771046209, 2021-01-03 22:20:10, 97,106,8,15,86, 34,121,63,14,69, 4456, False
5771046119, 2021-01-03 22:20:10, 114,26,20,39,15, 84,95,25,7,19, 4655, True
5771046100, 2021-01-03 22:20:06, 30,62,12,104,13, 57,11,129,83,54, 5663, False
5771046017, 2021-01-03 22:20:05, 103,86,42,17,32, 7,30,22,95,70, 4409, False
5771046003, 2021-01-03 22:19:55, 86,34,44,87,28, 121,60,42,13,62, 4978, False
5771045915, 2021-01-03 22:19:55, 8,96,79,72,123, 31,98,106,39,19, 4055, True
5771045616, 2021-01-03 22:19:36, 26,7,120,8,11, 23,73,99,106,25, 4001, False
